Algorithm	SensorNum	Runtime	FlightTime
ACO	5	1.249	773.602146
ACO-Online	5	2.167	718.670709
ACO	10	5.2	889.623891
ACO-Online	10	2.708	851.629187
ACO	15	13.383	1303.136052
ACO-Online	15	2.01	1297.245308
ACO	20	22.442	2246.173104
ACO-Online	20	4.091	2180.736643
ACO	25	31.337	2522.426037
ACO-Online	25	4.658	2510.578383
ACO	30	38.59	2714.553076
ACO-Online	30	4.212	2657.615396
ACO	35	58.725	3537.951359
ACO-Online	35	6.743	3533.67404
ACO	40	119.11	3944.285694
ACO-Online	40	4.481	3843.583991
ACO	5	1.173	391.630615
ACO-Online	5	0.407	392.202861
ACO	10	5.61	846.724607
ACO-Online	10	1.01	847.153791
ACO	15	9.75	1933.145923
ACO-Online	15	2.661	1748.87084
ACO	20	17.128	2285.748498
ACO-Online	20	2.014	2280.652658
ACO	25	28.913	2279.488698
ACO-Online	25	2.501	2259.768182
ACO	30	44.01	3353.680544
ACO-Online	30	4.54	2997.116144
ACO	35	82.825	3422.344349
ACO-Online	35	4.715	3367.589038
ACO	40	89.491	4016.808011
ACO-Online	40	7.762	3992.63344
ACO	5	1.937	447.646638
ACO-Online	5	0.83	447.646638
ACO	10	5.953	953.305007
ACO-Online	10	2.611	949.075443
ACO	15	10.646	1282.003577
ACO-Online	15	2.719	1269.835244
ACO	20	15.342	2074.040629
ACO-Online	20	3.761	1994.484664
ACO	25	34.952	2494.425036
ACO-Online	25	4.182	2480.198567
ACO	30	52.662	2833.129328
ACO-Online	30	2.993	2810.419918
ACO	35	72.045	4617.970672
ACO-Online	35	6.339	4588.991932
ACO	40	104.298	4118.49814
ACO-Online	40	7.647	4133.233476
ACO	5	1.555	632.8299
ACO-Online	5	1.466	627.565175
ACO	10	5.337	1057.192561
ACO-Online	10	2.069	1051.874451
ACO	15	9.318	1396.472246
ACO-Online	15	4.34	1286.386792
ACO	20	17.112	1795.253076
ACO-Online	20	1.934	1778.479388
ACO	25	26.042	3404.968383
ACO-Online	25	3.689	3314.265052
ACO	30	59.171	3369.947926
ACO-Online	30	3.75	3344.115391
ACO	35	60.563	3141.820029
ACO-Online	35	2.951	3147.771726
ACO	40	78.397	4190.668097
ACO-Online	40	7.372	4123.549249
ACO	5	1.376	403.577253
ACO-Online	5	0.372	404.22103
ACO	10	4.662	1725.645923
ACO-Online	10	1.615	1730.366953
ACO	15	10.658	1460.736338
ACO-Online	15	3.795	1422.194822
ACO	20	19.003	1814.656652
ACO-Online	20	3.25	1812.629757
ACO	25	35.948	2677.859514
ACO-Online	25	3.112	2684.253613
ACO	30	58.632	3382.725465
ACO-Online	30	5.41	3331.529822
ACO	35	55.906	3163.51216
ACO-Online	35	4.504	3006.78824
ACO	40	75.111	3977.442775
ACO-Online	40	5.741	3959.135768
ACO	5	1.371	355.572961
ACO-Online	5	1.392	327.385894
ACO	10	6.267	1170.332761
ACO-Online	10	1.565	1165.250848
ACO	15	11.449	1941.908584
ACO-Online	15	3.313	1907.93892
ACO	20	19.653	1609.905436
ACO-Online	20	3.92	1615.198712
ACO	25	37.533	2905.754936
ACO-Online	25	3.745	2911.191273
ACO	30	57.263	2855.47525
ACO-Online	30	4.79	2862.63996
ACO	35	64.079	3690.203004
ACO-Online	35	4.292	3580.729771
ACO	40	85.567	3965.663519
ACO-Online	40	4.588	3896.383196
ACO	5	1.656	513.488984
ACO-Online	5	0.678	513.488984
ACO	10	4.918	1287.088984
ACO-Online	10	1.867	1285.939904
ACO	15	14.689	1601.376967
ACO-Online	15	1.72	1606.38412
ACO	20	18.097	2097.414306
ACO-Online	20	3.047	2042.575464
ACO	25	28.51	2727.553076
ACO-Online	25	2.766	2724.253797
ACO	30	41.569	3609.618598
ACO-Online	30	2.847	3355.345347
ACO	35	75.365	3364.999142
ACO-Online	35	4.042	3350.517256
ACO	40	91.436	4950.458512
ACO-Online	40	4.271	4888.730482
ACO	5	1.212	496.53133
ACO-Online	5	0.25	498.033476
ACO	10	6.415	1086.725322
ACO-Online	10	1.203	1089.515021
ACO	15	14.974	1268.899428
ACO-Online	15	1.6	1271.689127
ACO	20	18.018	2241.348069
ACO-Online	20	2.012	2195.299747
ACO	25	35.798	2452.879828
ACO-Online	25	3.07	2384.679065
ACO	30	48.275	3106.556366
ACO-Online	30	3.857	3097.326598
ACO	35	72.816	3763.06681
ACO-Online	35	5.647	3580.878867
ACO	40	72.251	4187.249928
ACO-Online	40	3.965	4134.304854
ACO	5	2.629	577.286838
ACO-Online	5	0.923	577.286838
ACO	10	6.165	902.615737
ACO-Online	10	1.506	886.455848
ACO	15	11.872	1657.783691
ACO-Online	15	3.243	1662.639467
ACO	20	20.85	2360.467668
ACO-Online	20	3.192	2356.03642
ACO	25	33.969	3057.678398
ACO-Online	25	3.679	3045.830009
ACO	30	53.63	2406.271674
ACO-Online	30	3.623	2413.42475
ACO	35	46.152	3564.264092
ACO-Online	35	6.173	3411.050732
ACO	40	97.495	4593.583119
ACO-Online	40	6.613	4588.249356
ACO	5	1.632	629.686838
ACO-Online	5	1.487	630.83133
ACO	10	5.426	1269.42103
ACO-Online	10	1.912	1213.861338
ACO	15	13.32	1555.91216
ACO-Online	15	3.724	1553.5942
ACO	20	23.409	2613.600858
ACO-Online	20	3.639	2590.590358
ACO	25	30.204	2446.528898
ACO-Online	25	3.455	2439.636545
ACO	30	56.326	3138.160658
ACO-Online	30	2.721	3108.745246
ACO	35	57.535	3622.779113
ACO-Online	35	5.037	3629.216881
ACO	40	114.123	3693.560086
ACO-Online	40	5.56	3638.137948
